Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,SE_T005_001,SE_T005_002,SE_T005_003,SE_T005_004,SE_T023_001,SE_T038_001,SE_T045_001,SE_T046_001,SE_T046_002,SE_T046_003,SE_T046_004,SE_T046_005,SE_T051_001,SE_T051_002,SE_T051_003
"B0033","33","140","42017B0330000","42","017",1084,1084,1074,9,1,0,293,362,362,300,62,0,62,300,222,78
"B0034","34","140","42017B0340000","42","017",2668,2668,2662,3,3,26580,752,836,836,751,85,6,79,751,522,229
"B0035","35","140","42017B0350000","42","017",668,668,668,0,0,0,198,236,236,197,39,6,33,197,136,61
"B0036","36","140","42017B0360000","42","017",871,871,871,0,0,0,280,289,289,279,10,5,5,279,165,114
"B0037","37","140","42017B0370000","42","017",1305,1305,1305,0,0,0,377,464,464,379,85,12,73,379,320,59
"B0038","38","140","42017B0380000","42","017",944,944,944,0,0,0,264,311,311,261,50,5,45,261,197,64
"B0039","39","140","42017B0390000","42","017",1552,1552,1550,1,1,25750,477,718,718,483,235,18,217,483,370,113
"B0040","40","140","42017B0400000","42","017",2268,2268,2262,6,0,32500,636,708,708,637,71,5,66,637,470,167
"B0041","41","140","42017B0410000","42","017",400,400,396,1,3,0,120,121,121,120,1,0,1,120,81,39
"B0042","42","140","42017B0420000","42","017",2353,2353,2347,6,0,32340,690,820,820,695,125,17,108,695,514,181
"B0043","43","140","42017B0430000","42","017",2208,2208,2163,42,3,33330,688,820,820,683,137,37,100,683,465,218
"B0044","44","140","42017B0440000","42","017",1066,1066,1044,22,0,0,362,388,388,362,26,9,17,362,209,153
"B0045","45","140","42017B0450000","42","017",3007,3007,2939,67,1,29900,889,963,963,889,74,11,63,889,640,249
"B0046","46","140","42017B0460000","42","017",2364,2364,2325,37,2,22810,594,640,640,593,47,9,38,593,417,176
"B0047","47","140","42017B0470000","42","017",5262,5262,5183,78,1,33270,1631,1682,1682,1636,46,20,26,1636,959,677
"B0048","48","140","42017B0480000","42","017",581,581,581,0,0,0,174,174,174,172,2,1,1,172,143,29
"B0049","49","140","42017B0490000","42","017",906,906,895,11,0,0,259,305,305,259,46,3,43,259,197,62
"B0050","50","140","42017B0500000","42","017",2248,2248,2240,8,0,30710,625,682,682,627,55,4,51,627,429,198
