Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,SE_T050_001,SE_T051_001,SE_T051_002,SE_T051_003,SE_T051_004,SE_T051_005,SE_T056_001,SE_T056_002,SE_T056_003
"22X","22-X","140","4210102224000","42","101",3533,3533,3138,395,0,1082,1082,980,102,92,10,980,323,657
"22Y","22-Y","140","4210102225000","42","101",6539,6539,4855,1676,8,1740,1740,1671,69,67,2,1671,766,905
"22Z","22-Z","140","4210102226000","42","101",8269,8269,8099,170,0,2398,2398,2305,93,93,0,2305,1186,1119
"22AA","22-AA","140","4210102227000","42","101",5040,5040,4128,909,3,1676,1676,1538,138,130,8,1538,559,979
"22BB","22-BB","140","4210102228000","42","101",1735,1735,1667,67,1,737,737,646,91,87,4,646,162,484
"22CC","22-CC","140","4210102229000","42","101",2163,2163,2013,150,0,887,887,788,99,80,19,788,230,558
"22DD","22-DD","140","4210102230000","42","101",1951,1951,1418,533,0,605,605,533,72,71,1,533,153,380
"22EE","22-EE","140","4210102231000","42","101",7308,7308,5665,1635,8,1842,1842,1754,88,86,2,1754,611,1143
"22FF","22-FF","140","4210102232000","42","101",3474,3474,3255,219,0,922,922,879,43,43,0,879,480,399
"22GG","22-GG","140","4210102233000","42","101",7703,7703,7356,343,4,1800,1800,1740,60,59,1,1740,743,997
"22HH","22-HH","140","4210102234000","42","101",7559,7559,6703,855,1,2025,2025,1960,65,62,3,1960,644,1316
"22II","22-II","140","4210102235000","42","101",7984,7984,6440,1541,3,2550,2550,2435,115,104,11,2435,948,1487
"22JJ","22-JJ","140","4210102236000","42","101",5284,5284,5278,3,3,1571,1571,1524,47,44,3,1524,759,765
"22KK","22-KK","140","4210102237000","42","101",4369,4369,3866,502,1,1439,1439,1352,87,80,7,1352,586,766
"23A","23-A","140","4210102301000","42","101",1229,1229,1229,0,0,303,303,295,8,8,0,295,145,150
"23B","23-B","140","4210102302000","42","101",2309,2309,2309,0,0,729,729,676,53,53,0,676,175,501
"23C","23-C","140","4210102303000","42","101",1659,1659,1658,1,0,486,486,477,9,8,1,477,254,223
"23D","23-D","140","4210102304000","42","101",7652,7652,7641,9,2,2287,2287,2236,51,51,0,2236,1372,864
"23E","23-E","140","4210102305000","42","101",6091,6091,6069,18,4,2038,2038,1933,105,102,3,1933,979,954
"23F","23-F","140","4210102306000","42","101",5376,5376,5336,40,0,1363,1363,1314,49,49,0,1314,603,711
"23G","23-G","140","4210102307000","42","101",8210,8210,7120,1086,4,2455,2455,2402,53,49,4,2402,964,1438
"23H","23-H","140","4210102308000","42","101",5796,5796,5770,25,1,1494,1494,1476,18,17,1,1476,772,704
"23I","23-I","140","4210102309000","42","101",6362,6362,6194,163,5,1695,1695,1648,47,45,2,1648,654,994
"23J","23-J","140","4210102310000","42","101",936,936,925,11,0,204,204,202,2,2,0,202,124,78
"23K","23-K","140","4210102311000","42","101",5460,5460,5459,1,0,1273,1273,1261,12,12,0,1261,861,400
"24A","24-A","140","4210102401000","42","101",566,566,554,12,0,28,28,21,7,7,0,21,8,13
"24B","24-B","140","4210102402000","42","101",8602,8602,8318,282,2,2526,2526,2352,174,174,0,2352,574,1778
"24C","24-C","140","4210102403000","42","101",12711,12711,8305,4392,14,3524,3524,3295,229,228,1,3295,872,2423
"24D","24-D","140","4210102404000","42","101",12156,12156,5498,6648,10,3271,3271,3083,188,188,0,3083,647,2436
"24E","24-E","140","4210102405000","42","101",5092,5092,3853,1233,6,1358,1358,1196,162,161,1,1196,274,922
"24F","24-F","140","4210102406000","42","101",9865,9865,6651,3206,8,3520,3520,3095,425,420,5,3095,458,2637
"24G","24-G","140","4210102407000","42","101",4811,4811,2241,2570,0,1418,1418,1340,78,77,1,1340,286,1054
"25A","25-A","140","4210102501000","42","101",11664,11664,11644,3,17,3318,3318,3199,119,117,2,3199,1304,1895
"25B","25-B","140","4210102502000","42","101",11653,11653,11219,434,0,2836,2836,2788,48,42,6,2788,1399,1389
"25C","25-C","140","4210102503000","42","101",16574,16574,16564,0,10,3850,3850,3785,65,62,3,3785,2297,1488
"25D","25-D","140","4210102504000","42","101",1067,1067,1054,13,0,240,240,234,6,6,0,234,120,114
