Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T060_001,SE_T060_002,SE_T060_003,SE_T060_004,SE_T060_005,SE_T060_006,SE_T060_007,SE_T060_008,SE_T061_001,SE_T061_002,SE_T061_003,SE_T062_001,SE_T062_002,SE_T062_003,SE_T068_001,SE_T069_001,SE_T069_002,SE_T069_003,SE_T070_001,SE_T070_002,SE_T070_003,SE_T072_001,SE_T055_010
Census Tract 22,"Census Tract 22, Philadelphia County, Pennsylvania",42101002200,140,0,42,101,21,,2200,2281,2281,597,1405,10,97,0,89,83,1018,338,575,5,38,0,26,36,1018,60,958,1018,319,699,1270,1018,445,573,1270,1018,252,588,175
Census Tract 23,"Census Tract 23, Philadelphia County, Pennsylvania",42101002300,140,0,42,101,21,,2300,2682,2682,1847,128,3,383,1,257,63,1232,956,61,2,123,0,65,25,1232,104,1128,1232,919,313,1348,1232,645,587,1348,1232,116,715,376
Census Tract 24,"Census Tract 24, Philadelphia County, Pennsylvania",42101002400,140,0,42,101,21,,2400,5129,5129,3230,453,55,814,4,432,141,2273,1654,185,10,271,3,107,43,2273,235,2038,2273,1553,720,2538,2273,1175,1098,2538,2273,265,1268,912
Census Tract 25,"Census Tract 25, Philadelphia County, Pennsylvania",42101002500,140,0,42,101,21,,2500,3769,3769,1932,1350,10,268,2,96,111,1669,964,536,4,95,0,31,39,1669,96,1573,1669,922,747,1818,1669,754,915,1818,1669,149,849,293
Census Tract 27.01,"Census Tract 27.01, Philadelphia County, Pennsylvania",42101002701,140,0,42,101,21,,2701,3874,3874,1330,885,32,1006,0,490,131,1463,635,362,11,283,0,140,32,1463,224,1239,1463,574,889,1677,1463,608,855,1677,1463,214,705,800
Census Tract 27.02,"Census Tract 27.02, Philadelphia County, Pennsylvania",42101002702,140,0,42,101,21,,2702,3566,3566,3232,128,1,101,0,40,64,1704,1582,48,1,39,0,11,23,1704,58,1646,1704,1538,166,1895,1704,1087,617,1895,1704,191,933,148
Census Tract 28.01,"Census Tract 28.01, Philadelphia County, Pennsylvania",42101002801,140,0,42,101,21,,2801,4324,4324,1677,349,44,1367,0,729,158,1561,796,143,12,401,0,173,36,1561,298,1263,1561,701,860,1774,1561,745,816,1774,1561,213,681,1256
Census Tract 28.02,"Census Tract 28.02, Philadelphia County, Pennsylvania",42101002802,140,0,42,101,21,,2802,5539,5539,3854,74,6,1075,1,415,114,2269,1805,32,3,299,0,96,34,2269,159,2110,2269,1752,517,2496,2269,1435,834,2496,2269,227,1072,739
Census Tract 29,"Census Tract 29, Philadelphia County, Pennsylvania",42101002900,140,0,42,101,21,,2900,4141,4141,3495,106,2,306,0,106,126,2047,1828,57,1,92,0,36,33,2047,89,1958,2047,1776,271,2225,2047,1276,771,2225,2047,178,1172,262
Census Tract 30.01,"Census Tract 30.01, Philadelphia County, Pennsylvania",42101003001,140,0,42,101,21,,3001,4664,4664,964,1024,11,2293,9,208,155,1614,498,386,1,639,3,51,36,1614,85,1529,1614,473,1141,1803,1614,865,749,1803,1614,189,605,338
Census Tract 30.02,"Census Tract 30.02, Philadelphia County, Pennsylvania",42101003002,140,0,42,101,21,,3002,3200,3200,588,2007,17,330,1,164,93,1320,290,840,8,108,0,43,31,1320,72,1248,1320,275,1045,1567,1320,610,710,1567,1320,247,649,263
Census Tract 31,"Census Tract 31, Philadelphia County, Pennsylvania",42101003100,140,0,42,101,21,,3100,4437,4437,220,3862,18,191,7,57,82,1840,100,1629,4,61,2,18,26,1840,40,1800,1840,94,1746,2343,1840,969,871,2343,1840,503,779,122
Census Tract 32,"Census Tract 32, Philadelphia County, Pennsylvania",42101003200,140,0,42,101,21,,3200,4875,4875,207,4431,13,44,1,47,132,1797,95,1636,5,11,1,14,35,1797,29,1768,1797,90,1707,2271,1797,960,837,2271,1797,474,638,100
Census Tract 33,"Census Tract 33, Philadelphia County, Pennsylvania",42101003300,140,0,42,101,21,,3300,6162,6162,1614,4073,21,235,0,72,147,2295,738,1421,8,77,0,21,30,2295,53,2242,2295,725,1570,2761,2295,1124,1171,2761,2295,466,821,197
Census Tract 36,"Census Tract 36, Philadelphia County, Pennsylvania",42101003600,140,0,42,101,21,,3600,6723,6723,1475,4029,25,908,2,124,160,2635,755,1536,9,247,2,38,48,2635,97,2538,2635,729,1906,2803,2635,1089,1546,2803,2635,168,971,322
Census Tract 37.01,"Census Tract 37.01, Philadelphia County, Pennsylvania",42101003701,140,0,42,101,21,,3701,6609,6609,591,4888,18,852,2,87,171,2259,270,1657,6,248,1,26,51,2259,66,2193,2259,251,2008,2663,2259,1173,1086,2663,2259,404,695,268
Census Tract 37.02,"Census Tract 37.02, Philadelphia County, Pennsylvania",42101003702,140,0,42,101,21,,3702,3707,3707,1052,1752,5,698,1,74,125,1350,516,597,2,194,0,19,22,1350,47,1303,1350,499,851,1486,1350,857,493,1486,1350,136,440,186
Census Tract 38,"Census Tract 38, Philadelphia County, Pennsylvania",42101003800,140,0,42,101,21,,3800,3898,3898,3539,72,7,196,0,33,51,1645,1543,30,2,47,0,12,11,1645,27,1618,1645,1529,116,1723,1645,1335,310,1723,1645,78,628,118
Census Tract 39.01,"Census Tract 39.01, Philadelphia County, Pennsylvania",42101003901,140,0,42,101,21,,3901,6062,6062,4040,590,16,1104,4,166,142,2674,2007,247,6,324,0,45,45,2674,121,2553,2674,1953,721,2936,2674,1515,1159,2936,2674,262,1336,384
Census Tract 39.02,"Census Tract 39.02, Philadelphia County, Pennsylvania",42101003902,140,0,42,101,21,,3902,5507,5507,5325,19,4,80,0,21,58,2448,2386,9,3,24,0,6,20,2448,31,2417,2448,2368,80,2630,2448,1957,491,2630,2448,182,995,99
