Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T057_001
"42101021800","14000US42101021800","Census Tract 218, Philadelphia County, Pennsylvania","Census Tract 218, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014226",,,,,"42","101",,,,"021800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52663
"42101021900","14000US42101021900","Census Tract 219, Philadelphia County, Pennsylvania","Census Tract 219, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014227",,,,,"42","101",,,,"021900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77644
"42101022000","14000US42101022000","Census Tract 220, Philadelphia County, Pennsylvania","Census Tract 220, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014228",,,,,"42","101",,,,"022000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73864
"42101023100","14000US42101023100","Census Tract 231, Philadelphia County, Pennsylvania","Census Tract 231, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014229",,,,,"42","101",,,,"023100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106927
"42101023500","14000US42101023500","Census Tract 235, Philadelphia County, Pennsylvania","Census Tract 235, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014230",,,,,"42","101",,,,"023500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76548
"42101023600","14000US42101023600","Census Tract 236, Philadelphia County, Pennsylvania","Census Tract 236, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014231",,,,,"42","101",,,,"023600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77356
"42101023700","14000US42101023700","Census Tract 237, Philadelphia County, Pennsylvania","Census Tract 237, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014232",,,,,"42","101",,,,"023700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44077
"42101023800","14000US42101023800","Census Tract 238, Philadelphia County, Pennsylvania","Census Tract 238, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014233",,,,,"42","101",,,,"023800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33175
"42101023900","14000US42101023900","Census Tract 239, Philadelphia County, Pennsylvania","Census Tract 239, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014234",,,,,"42","101",,,,"023900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29346
"42101024000","14000US42101024000","Census Tract 240, Philadelphia County, Pennsylvania","Census Tract 240, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014235",,,,,"42","101",,,,"024000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33849
