g_yr,g_cy,Geo_FIPS,g_id,g_st,t_h,t_h_as,t_h_bl,t_h_hi,t_h_mr,t_h_n_hi,t_h_na,t_h_nf,t_h_nh,t_h_nw,t_h_or,t_h_or_fm,t_h_or_nf,t_h_wa,t_h_wh,t_h_wh_fm,t_h_wh_nf,t_p,t_p_as,t_p_bl,t_p_mr,t_p_na,t_p_nh,t_p_or,t_p_wh,t_u,t_u_oc,t_u_oc_oo,t_u_oc_ro,t_u_vc
2000,5,34005702906,34,34,666.363135002651,20.078173802056998,24.1066046417243,7.04737172062002,5.018862808000651,659.3157632820311,0.00136128502721455,106.87389097609001,0.0,659.3157632820311,,,,610.112122030249,,,,2218.5789999999997,71.19598,116.2636,33.054520000000004,1.002684,0.0,6.031075,1991.031,696.428666874702,666.363135002651,637.565153713006,28.797981289644998,30.065531872051395
2000,5,34005702907,34,34,1254.0,18.0,29.0,9.0,2.0,1245.0,0.0,289.0,0.0,1245.0,,,,1196.0,,,,3092.0,56.0,74.0,15.0,1.0,0.0,10.0,2936.0,1268.0,1254.0,1215.0,39.0,14.0
2000,5,34005702908,34,34,1937.0,40.0,40.0,13.0,6.0,1924.0,0.0,590.0,0.0,1924.0,,,,1837.0,,,,4516.0,114.0,139.0,18.0,0.0,0.0,11.0,4234.0,1991.0,1937.0,1883.0,54.0,54.0
2000,5,34005702909,34,34,2391.0,102.0,186.0,52.0,22.0,2339.0,2.0,709.0,1.0,2339.0,,,,2031.0,,,,5983.0,355.0,503.0,105.0,4.0,2.0,45.0,4969.0,2447.0,2391.0,2172.0,219.0,56.0
2000,5,34005702910,34,34,1714.0,47.0,94.0,21.0,13.0,1693.0,4.0,441.0,0.0,1693.0,,,,1537.0,,,,4719.0,190.0,265.0,65.0,7.0,1.0,30.0,4161.0,1756.0,1714.0,1569.0,145.0,42.0
2000,5,34005702913,34,34,1724.79230669499,43.60852388330849,152.880457292059,39.0972972746904,16.5411642315998,1685.6950094203,2.00498960383028,716.2825359683659,0.5012474009575689,1685.6950094203,,,,1471.16112181047,,,,3778.9040000000005,103.7582,312.2771,57.1422,6.014969000000001,0.5012474,31.077340000000003,3268.133,1857.12162054779,1724.79230669499,1313.76943790979,411.022868785207,132.329313852798
2000,5,34005702914,34,34,1716.1639474731398,43.390370075606896,152.115665207587,38.901711102268294,16.458416235574997,1677.2622363708701,1.99495954370606,712.699296988992,0.49873988592651597,1677.2622363708701,,,,1463.8015651943201,,,,3760.0,103.2392,310.7149,56.85635,5.984879,0.4987399,30.921870000000002,3251.784,1847.83127735774,1716.1639474731398,1307.1972410134,408.96670645974297,131.66732988459998
2000,5,34005702915,34,34,1883.9542328373102,64.0125046892585,201.97048893335,42.4910591471802,29.7989245967238,1841.46317369013,2.7591596848818303,716.829686132299,1.10366387395273,1841.46317369013,,,,1546.78491934475,,,,4413.0,215.2145,478.9901,97.12241999999999,6.070151,4.414655000000001,38.0764,3573.112,1930.3081155433301,1883.9542328373102,1433.10754032762,450.846692509691,46.3538827060147
2000,5,34005702917,34,34,831.193947730397,28.242090784044,89.10866574965598,18.7469050894085,13.1471801925722,812.447042640988,1.21733149931224,316.26272352132,0.48693259972489605,812.447042640988,,,,682.436038514442,,,,1947.0,94.95186,211.3287,42.85007,2.678129,1.94773,16.79917,1576.444,851.645116918843,831.193947730397,632.281980742777,198.91196698762002,20.4511691884456
2000,5,34005702918,34,34,699.048863387932,23.7485826550143,74.92856362862041,15.7661219283901,11.054803247366,683.282741459542,1.02396283413691,265.935739482901,0.40940352632237004,683.282741459542,,,,573.959741436533,,,,1637.5720000000001,79.84595,177.7047,36.032959999999996,2.252627,1.637614,14.12715,1325.971,716.2646963366969,699.048863387932,531.78709206035,167.261771327582,17.215832948764803
