Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,SE_T050_001,SE_T051_001,SE_T051_002,SE_T051_003,SE_T051_004,SE_T051_005,SE_T056_001,SE_T056_002,SE_T056_003
"23G","Census Tract 23G, Philadelphia County, Pennsylvania","140","4210102307000","42","101",8210,8210,7120,1086,4,2455,2455,2402,53,49,4,2402,964,1438
"23H","Census Tract 23H, Philadelphia County, Pennsylvania","140","4210102308000","42","101",5796,5796,5770,25,1,1494,1494,1476,18,17,1,1476,772,704
"23I","Census Tract 23I, Philadelphia County, Pennsylvania","140","4210102309000","42","101",6362,6362,6194,163,5,1695,1695,1648,47,45,2,1648,654,994
"23J","Census Tract 23J, Philadelphia County, Pennsylvania","140","4210102310000","42","101",936,936,925,11,0,204,204,202,2,2,0,202,124,78
"23K","Census Tract 23K, Philadelphia County, Pennsylvania","140","4210102311000","42","101",5460,5460,5459,1,0,1273,1273,1261,12,12,0,1261,861,400
"24A","Census Tract 24A, Philadelphia County, Pennsylvania","140","4210102401000","42","101",566,566,554,12,0,28,28,21,7,7,0,21,8,13
"24B","Census Tract 24B, Philadelphia County, Pennsylvania","140","4210102402000","42","101",8602,8602,8318,282,2,2526,2526,2352,174,174,0,2352,574,1778
"24C","Census Tract 24C, Philadelphia County, Pennsylvania","140","4210102403000","42","101",12711,12711,8305,4392,14,3524,3524,3295,229,228,1,3295,872,2423
"24D","Census Tract 24D, Philadelphia County, Pennsylvania","140","4210102404000","42","101",12156,12156,5498,6648,10,3271,3271,3083,188,188,0,3083,647,2436
"24E","Census Tract 24E, Philadelphia County, Pennsylvania","140","4210102405000","42","101",5092,5092,3853,1233,6,1358,1358,1196,162,161,1,1196,274,922
"24F","Census Tract 24F, Philadelphia County, Pennsylvania","140","4210102406000","42","101",9865,9865,6651,3206,8,3520,3520,3095,425,420,5,3095,458,2637
"24G","Census Tract 24G, Philadelphia County, Pennsylvania","140","4210102407000","42","101",4811,4811,2241,2570,0,1418,1418,1340,78,77,1,1340,286,1054
"25A","Census Tract 25A, Philadelphia County, Pennsylvania","140","4210102501000","42","101",11664,11664,11644,3,17,3318,3318,3199,119,117,2,3199,1304,1895
"25B","Census Tract 25B, Philadelphia County, Pennsylvania","140","4210102502000","42","101",11653,11653,11219,434,0,2836,2836,2788,48,42,6,2788,1399,1389
"25C","Census Tract 25C, Philadelphia County, Pennsylvania","140","4210102503000","42","101",16574,16574,16564,0,10,3850,3850,3785,65,62,3,3785,2297,1488
"25D","Census Tract 25D, Philadelphia County, Pennsylvania","140","4210102504000","42","101",1067,1067,1054,13,0,240,240,234,6,6,0,234,120,114
"26A","Census Tract 26A, Philadelphia County, Pennsylvania","140","4210102601000","42","101",3037,3037,1090,1931,16,828,828,807,21,21,0,807,219,588
"26B","Census Tract 26B, Philadelphia County, Pennsylvania","140","4210102602000","42","101",8700,8700,7356,1339,5,2115,2115,2055,60,58,2,2055,735,1320
"26C","Census Tract 26C, Philadelphia County, Pennsylvania","140","4210102603000","42","101",10841,10841,10374,461,6,2296,2296,2230,66,63,3,2230,1246,984
