Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T001_001,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T012_006,SE_T012_007,SE_T077_001,SE_T099_001,SE_T100_001,SE_T100_002,SE_T100_003,SE_T101_001,SE_T101_002,SE_T101_003
"42017104303","Census Tract 1043.03","Census Tract 1043.03, Bucks County, Pennsylvania","00","42","017","104303",1699.641,1666.386,1661.067,2.896536,2.422333,599.872,405.8773,53.91573,19.73191,34.18382,70.27588,69.80318,13659.1918727592,644.6482,599.8721,444.3786,155.4935,644.6482,599.8721,44.77615
"42017104304","Census Tract 1043.04","Census Tract 1043.04, Bucks County, Pennsylvania","00","42","017","104304",615.799,603.7517,601.8272,1.049788,0.8747089,217.3258,147.0579,19.53319,7.151414,12.38177,25.45233,25.28242,13660.1141726443,233.5397,217.3258,161.0074,56.31836,233.5397,217.3258,16.21391
"42017104400","Census Tract 1044","Census Tract 1044, Bucks County, Pennsylvania","00","42","017","104400",994.6869,968.6967,952.7048,0.0004065011,15.99147,423.8491,217.9361,36.98705,0.002769185,36.98428,87.96107,80.96489,10657.7328365248,494.816,423.8491,239.9293,183.9198,494.816,423.8491,70.96692
"42017104502","Census Tract 1045.02","Census Tract 1045.02, Bucks County, Pennsylvania","00","42","017","104502",2374.848,2306.909,2237.965,56.94864,11.99561,688.1691,572.7232,29.1773,10.09182,19.08548,45.09725,41.1713,13983.0803383182,719.2142,688.169,549.7871,138.3819,719.2142,688.169,31.0452
"42017104503","Census Tract 1045.03","Census Tract 1045.03, Bucks County, Pennsylvania","00","42","017","104503",975.2883,973.5361,964.0741,9.462014,0,305.2375,228.8406,28.0356,8.761124,19.27447,24.1807,24.1807,13573.5583684951,312.5969,305.2375,233.3963,71.84122,312.5969,305.2375,7.359339
"42017104505","Census Tract 1045.05","Census Tract 1045.05, Bucks County, Pennsylvania","00","42","017","104505",1315.596,1313.232,1300.469,12.7636,0,411.7441,308.6899,37.81806,11.81814,25.99992,32.61808,32.61808,13573.5583684951,421.6714,411.7442,314.8354,96.90878,421.6714,411.7442,9.927223
"42017104506","Census Tract 1045.06","Census Tract 1045.06, Bucks County, Pennsylvania","00","42","017","104506",492.1159,491.2317,486.4573,4.77439,0,154.0183,115.4695,14.14634,4.420732,9.72561,12.20122,12.20122,13573.5583684951,157.7317,154.0183,117.7683,36.25,157.7317,154.0183,3.713408
"42017104601","Census Tract 1046.01","Census Tract 1046.01, Bucks County, Pennsylvania","00","42","017","104601",3146.873,3133.838,3133.749,0.07469835,0.01396915,838.8587,717.6312,30.13925,15.03864,15.10061,26.02705,65.06123,19654.6301539602,870.8771,838.8587,765.6042,73.25448,870.8771,838.8587,32.01842
"42017104603","Census Tract 1046.03","Census Tract 1046.03, Bucks County, Pennsylvania","00","42","017","104603",2035.269,2005.763,1973.552,28.09226,4.118252,531.3885,431.6187,38.80858,9.289828,29.51875,24.13713,36.82403,15200.7838245816,546.7317,531.3885,438.3973,92.99111,546.7317,531.3885,15.34323
"42017104604","Census Tract 1046.04","Census Tract 1046.04, Bucks County, Pennsylvania","00","42","017","104604",1483.377,1461.66,1438.309,20.40512,2.945493,383.5922,313.4448,27.09196,6.309857,20.7821,17.33332,25.72215,15235.62509347,394.5761,383.5922,318.6512,64.94097,394.5761,383.5922,10.98388
